ad_id,origin,condition,car_model,mileage,exterior_color,interior_color,num_of_doors,seating_capacity,engine,engine_capacity,transmission,drive_type,fuel_consumption,brand,grade,year_of_manufacture,price_in_billion
4830259,Domestic assembly,Used car,Crossover,13000,Black,Grey,5,5,Petrol,1.4,Automatic,FWD,8.9,Kia,Seltos,2021,0.67
4830267,Domestic assembly,Used car,Sedan,40000,Black,Cream,4,5,Petrol,1.6,Automatic,FWD,8.5,Kia,Cerato,2019,0.56
4830274,Imported,Used car,SUV,66000,White,Brown,5,5,Petrol,3,Automatic,AWD,16.1,BMW,X6,2016,2
4830275,Imported,Used car,SUV,25100,Grey,Cream,5,7,Petrol,2,Automatic,AWD,9.8,Volkswagen,Tiguan,2020,1.25
4830276,Domestic assembly,Used car,Sedan,54000,White,Grey,4,5,Petrol,1.6,Automatic,FWD,8,Hyundai,Elantra,2016,0.455
4830277,Imported,New car,Van/Minivan,0,White,Black,5,7,Petrol,1.5,Automatic,FWD,0,Hyundai,Stargazer,2023,0.575
4830282,Domestic assembly,Used car,Crossover,14000,Black,Cream,5,5,Petrol,2,Automatic,FWD,9.7,Hyundai,Tucson,2021,0.778
4830294,Domestic assembly,Used car,Van/Minivan,46000,White,Cream,5,7,Diesel,2.2,Automatic,FWD,12.1,Kia,Sedona,2019,0.945
4830300,Imported,Used car,Hatchback,25000,White,Cream,5,5,Petrol,1.5,Automatic,FWD,6.9,Toyota,Yaris,2021,0.595
4830303,Domestic assembly,Used car,Sedan,142000,White,Black,4,5,Petrol,1.5,Automatic,FWD,7.8,Mazda,3,2019,0.53
4830304,Domestic assembly,New car,Hatchback,0,White,Black,5,5,Petrol,1.25,Automatic,FWD,6.7,Hyundai,i10,2023,0.405
4830310,Imported,New car,SUV,0,Black,Black,5,7,Petrol,3.4,Automatic,AWD,12.8,Toyota,Land_Cruiser,2023,4.286
4830313,Imported,Used car,Pickup,59000,Grey,Colorful,4,5,Diesel,2.5,Automatic,RFD,9.6,Nissan,Navara,2021,0.629
4830316,Imported,Used car,SUV,58000,White,Cream,5,5,Petrol,2,Automatic,AWD,10.1,Lexus,NX200t,2015,1.45
4830321,Imported,Used car,Pickup,90000,White,Grey,4,5,Diesel,2.5,Automatic,RFD,11.4,Mitsubishi,Triton,2016,0.415
4830327,Imported,Used car,Sedan,10,Black,Cream,4,5,Petrol,2.5,Automatic,FWD,8.7,Toyota,Camry,2009,0.49
4830346,Imported,New car,SUV,0,Black,Different color,5,5,Petrol,2.5,Automatic,AWD,9.7,Subaru,Outback,2023,2.099
4830356,Imported,Used car,SUV,52000,Green,Brown,5,7,Petrol,3.5,Automatic,AWD,11.6,Lexus,RX350L,2018,3.1
